# Pathways built into every DeltaSignal catalog. Derived from MP-BioPath's
# pathway_list.tsv; R-HSA-9025112 is excluded (no network, input data,
# curator predictions or experimental results exist for it -- docs/RESULTS.md).
# R-HSA-451927 (Interleukin-2 family signaling) replaces MP-BioPath's list entry
# 447115, which is Interleukin-12 family signaling: the published network holds
# 58 of 451927's 59 reactions and 0 of 447115's (specs/024).
id	pathway_name
R-HSA-5673001	RAF_MAP_kinase_cascade
R-HSA-1227986	Signaling_by_ERBB2
R-HSA-5693606	DNA_Double_Strand_Break_Response
R-HSA-5693567	HDR_through_Homologous_Recombination_HRR_or_Single_Strand_Annealing_SSA_
R-HSA-5685939	HDR_through_MMEJ_alt-NHEJ_
R-HSA-5693571	Nonhomologous_End-Joining_NHEJ_
R-HSA-5358508	Mismatch_Repair
R-HSA-6783310	Fanconi_Anemia_Pathway
R-HSA-5696398	Nucleotide_Excision_Repair
R-HSA-168928	DDX58_IFIH1-mediated_induction_of_interferon-alpha_beta
R-HSA-73942	DNA_Damage_Reversal
R-HSA-73893	DNA_Damage_Bypass
R-HSA-73884	Base_Excision_Repair
R-HSA-194315	Signaling_by_Rho_GTPases
R-HSA-2559583	Cellular_Senescence
R-HSA-2871796	FCERI_mediated_MAPK_activation
R-HSA-1236394	Signaling_by_ERBB4
R-HSA-450531	Regulation_of_mRNA_stability_by_proteins_that_bind_AU-rich_elements
R-HSA-195721	Signaling_by_WNT
R-HSA-8848021	Signaling_by_PTK6
R-HSA-69620	Cell_Cycle_Checkpoints
R-HSA-453279	Mitotic_G1-G1_S_phases
R-HSA-1538133	G0_and_Early_G1
R-HSA-453274	Mitotic_G2-G2_M_phases
R-HSA-3700989	Transcriptional_Regulation_by_TP53
R-HSA-109606	Intrinsic_Pathway_for_Apoptosis
R-HSA-170834	Signaling_by_TGF-beta_Receptor_Complex
R-HSA-5358351	Signaling_by_Hedgehog
R-HSA-373755	Semaphorin_interactions
R-HSA-375165	NCAM_signaling_for_neurite_out-growth
R-HSA-373752	Netrin-1_signaling
R-HSA-446728	Cell_junction_organization
R-HSA-376176	Signaling_by_ROBO_receptors
R-HSA-373760	L1CAM_interactions
R-HSA-2682334	EPH-Ephrin_signaling
R-HSA-1257604	PIP3_activates_AKT_signaling
R-HSA-9012999	Rho_GTPase_cycle
R-HSA-5625740	RHO_GTPases_activate_PKNs
R-HSA-5627117	RHO_GTPases_Activate_ROCKs
R-HSA-5654736	Signaling_by_FGFR1
R-HSA-5654738	Signaling_by_FGFR2
R-HSA-5654741	Signaling_by_FGFR3
R-HSA-5654743	Signaling_by_FGFR4
R-HSA-5625900	RHO_GTPases_activate_CIT
R-HSA-5693532	DNA_Double-Strand_Break_Repair
R-HSA-1912422	Pre-NOTCH_Expression_and_Processing
R-HSA-1980143	Signaling_by_NOTCH1
R-HSA-1980145	Signaling_by_NOTCH2
R-HSA-1502540	Signaling_by_Activin
R-HSA-1181150	Signaling_by_NODAL
R-HSA-201451	Signaling_by_BMP
R-HSA-194138	Signaling_by_VEGF
R-HSA-140534	Caspase_activation_via_Death_Receptors_in_the_presence_of_ligand
R-HSA-418889	Caspase_activation_via_Dependence_Receptors_in_the_absence_of_ligand
R-HSA-6806834	Signaling_by_MET
R-HSA-75153	Apoptotic_execution_phase
R-HSA-74752	Signaling_by_Insulin_receptor
R-HSA-3247509	Chromatin_modifying_enzymes
R-HSA-8878159	Transcriptional_regulation_by_RUNX3
R-HSA-8878171	Transcriptional_regulation_by_RUNX1
R-HSA-8864260	Transcriptional_regulation_by_the_AP-2_TFAP2_family_of_transcription_factors
R-HSA-2172127	DAP12_interactions
R-HSA-6785807	Interleukin-4_and_Interleukin-13_signaling
R-HSA-428359	Insulin-like_Growth_Factor-2_mRNA_Binding_Proteins_IGF2BPs_IMPs_VICKZs_bind_RNA
R-HSA-5221030	TET1,2,3_and_TDG_demethylate_DNA
R-HSA-388841	Costimulation_by_the_CD28_family
R-HSA-177929	Signaling_by_EGFR
R-HSA-2404192	Signaling_by_Type_1_Insulin-like_Growth_Factor_1_Receptor_IGF1R_
R-HSA-1433557	Signaling_by_SCF-KIT
R-HSA-186797	Signaling_by_PDGF
R-HSA-1266695	Interleukin-7_signaling
R-HSA-8878166	Transcriptional_regulation_by_RUNX2
R-HSA-452723	Transcriptional_regulation_of_pluripotent_stem_cells
R-HSA-114604	GPVI-mediated_activation_cascade
R-HSA-5626467	RHO_GTPases_activate_IQGAPs
R-HSA-68875	Mitotic_Prophase
R-HSA-373753	Nephrin_family_interactions
R-HSA-69242	S_Phase
R-HSA-451927	Interleukin-2_family_signaling
R-HSA-8854691	Interleukin-20_family_signaling
R-HSA-8853659	RET_signaling
R-HSA-450294	MAP_kinase_activation
R-HSA-512988	Interleukin-3,_Interleukin-5_and_GM-CSF_signaling
R-HSA-5617472	Activation_of_anterior_HOX_genes_in_hindbrain_development_during_early_embryogenesis
R-HSA-983169	Class_I_MHC_mediated_antigen_processing_presentation
R-HSA-198933	Immunoregulatory_interactions_between_a_Lymphoid_and_a_non-Lymphoid_cell
R-HSA-877300	Interferon_gamma_signaling
R-HSA-909733	Interferon_alpha_beta_signaling
R-HSA-427413	NoRC_negatively_regulates_rRNA_expression
R-HSA-73894	DNA_Repair
R-HSA-6794361	Neurexins_and_neuroligins
R-HSA-186712	Regulation_of_beta-cell_development
