pathway_id	gene	direction	key_output_dbid	evaluation_split	expected	diagram_on_prediction	diagram_off_prediction	diagram_on_correct	diagram_off_correct	diagram_on_converged	diagram_off_converged
R-HSA-69620	ATM	2	3209186	development	0	2	0	False	True	True	True
R-HSA-69620	ATM	2	6804954	development	2	0	2	False	True	True	True
R-HSA-453279	CCND1	0	68891	development	0	0	2	True	False	True	True
R-HSA-453279	CCND1	2	68891	development	2	2	0	True	False	True	True
R-HSA-453279	CCND1	2	68905	development	2	2	0	True	False	True	True
R-HSA-453279	CDK4	0	68891	development	0	0	2	True	False	True	True
R-HSA-453279	CDK4	0	68905	development	0	0	2	True	False	True	True
R-HSA-1227986	PTK6	0	109783	held_out	0	0	1	True	False	True	True
R-HSA-1227986	PTK6	2	109783	held_out	2	2	1	True	False	True	True
R-HSA-1227986	PTK6	2	179838	held_out	1	2	1	False	True	True	True
R-HSA-3700989	AKT1	0	66248	held_out	0	0	1	True	False	False	False
R-HSA-3700989	AKT1	0	139916	held_out	2	0	1	False	False	False	False
R-HSA-3700989	AKT1	0	8856287	held_out	0	0	1	True	False	False	False
R-HSA-3700989	ATM	0	66248	held_out	0	0	2	True	False	True	False
R-HSA-3700989	ATM	0	139916	held_out	1	0	2	False	False	True	False
R-HSA-3700989	ATM	0	140220	held_out	0	0	2	True	False	True	False
R-HSA-3700989	ATM	0	3215139	held_out	0	0	2	True	False	True	False
R-HSA-3700989	ATM	0	6803386	held_out	0	0	2	True	False	True	False
R-HSA-3700989	BRCA1	0	53491	held_out	0	0	2	True	False	False	False
R-HSA-3700989	BRCA1	0	139916	held_out	2	1	2	False	True	False	False
R-HSA-3700989	BRCA1	0	3215139	held_out	0	0	2	True	False	False	False
R-HSA-3700989	BRCA1	0	6799460	held_out	0	1	2	False	False	False	False
R-HSA-3700989	BRCA1	0	6803386	held_out	0	0	2	True	False	False	False
R-HSA-5673001	NF1	0	109783	held_out	2	0	1	False	False	True	True
R-HSA-5673001	NF1	0	5672718	held_out	2	0	1	False	False	True	True
