pathway_id	pathway_name	split	eligible_cases	scored_cases	coverage	diagram_on_correct	diagram_on_accuracy	diagram_off_correct	diagram_off_accuracy	net_correct
R-HSA-1257604	PIP3 activates AKT signaling	development	200	84	0.42	82	0.9761904761904762	82	0.9761904761904762	0
R-HSA-453279	Mitotic G1 phase and G1/S transition	development	89	86	0.9662921348314607	44	0.5116279069767442	39	0.45348837209302323	5
R-HSA-69620	Cell Cycle Checkpoints	development	55	53	0.9636363636363636	41	0.7735849056603774	43	0.8113207547169812	-2
R-HSA-68875	Mitotic Prophase	held_out	26	22	0.8461538461538461	17	0.7727272727272727	17	0.7727272727272727	0
R-HSA-69242	S Phase	held_out	25	15	0.6	13	0.8666666666666667	13	0.8666666666666667	0
R-HSA-195721	Signaling by WNT	held_out	49	37	0.7551020408163265	27	0.7297297297297297	27	0.7297297297297297	0
R-HSA-1227986	Signaling by ERBB2	held_out	49	36	0.7346938775510204	30	0.8333333333333334	29	0.8055555555555556	1
R-HSA-3700989	Transcriptional Regulation by TP53	held_out	257	240	0.933852140077821	160	0.6666666666666666	152	0.6333333333333333	8
R-HSA-5673001	RAF/MAP kinase cascade	held_out	49	6	0.12244897959183673	4	0.6666666666666666	4	0.6666666666666666	0
R-HSA-5693567	HDR through HRR or SSA	held_out	48	48	1.0	38	0.7916666666666666	38	0.7916666666666666	0
