scope	cases	exact_correct	proxy_correct	prediction_agreement	exact_accuracy	proxy_accuracy	agreement_rate
all	606	443	436	592	0.730	0.719	0.977
development	223	167	161	213	0.749	0.722	0.955
held_out	383	276	275	379	0.721	0.718	0.990
R-HSA-1227986	36	30	30	36	0.833	0.833	1.000
R-HSA-1257604	84	82	82	84	0.976	0.976	1.000
R-HSA-195721	37	27	26	35	0.730	0.703	0.946
R-HSA-3700989	240	160	160	238	0.667	0.667	0.992
R-HSA-453279	86	44	39	81	0.512	0.453	0.942
R-HSA-5673001	6	4	4	6	0.667	0.667	1.000
R-HSA-5693567	27	25	25	27	0.926	0.926	1.000
R-HSA-68875	22	17	17	22	0.773	0.773	1.000
R-HSA-69242	15	13	13	15	0.867	0.867	1.000
R-HSA-69620	53	41	40	48	0.774	0.755	0.906
