parent	child	is_and	is_positive	stoichiometry
EGFR	RAS	0	1	1
RAS	RAF	0	1	1
RAF	MEK	0	1	1
MEK	ERK	0	1	1
ERK	FOS	0	1	1
ERK	JUN	0	1	1
FOS	AP1	1	1	1
JUN	AP1	1	1	1
AP1	MYC	0	1	1
MYC	CCND1	0	1	1
CCND1	CDK4	0	1	1
CDK4	RB	0	0	1
RB	E2F	0	0	1
E2F	S_PHASE	0	1	1
P53	P21	0	1	1
P21	CDK4	0	0	1
P21	CDK2	0	0	1
DNA_DAMAGE	ATM	0	1	1
ATM	P53	0	1	1
P53	BAX	0	1	1
BAX	APOPTOSIS	0	1	1
BCL2	BAX	0	0	1
AKT	BCL2	0	1	1
PI3K	AKT	0	1	1
EGFR	PI3K	0	1	1
MTOR	S6K1	0	1	1
AKT	MTOR	0	1	1
S6K1	PROTEIN_SYNTHESIS	0	1	1
AMPK	MTOR	0	0	1
ENERGY_STRESS	AMPK	0	1	1
MYC	ENERGY_STRESS	0	1	1
ERK	MYC	0	0	1
WNT	CTNNB1	0	1	1
CTNNB1	MYC	0	1	1
APC	CTNNB1	0	0	1
P53	MDM2	0	1	1
MDM2	P53	0	0	1
ATM	MDM2	0	0	1
VEGF	VEGFR2	0	1	1
VEGFR2	PI3K	0	1	1
HIF1A	VEGF	0	1	1
ENERGY_STRESS	HIF1A	0	1	1
NOTCH	HES1	0	1	1
HES1	MYC	0	0	1
TGFB	SMAD2	0	1	1
SMAD2	P21	0	1	1
