uuid	name	reactome_id	entity_type
EGFR	Epidermal Growth Factor Receptor	R-HSA-177929	protein
RAS	RAS Protein	R-HSA-6802957	protein
RAF	RAF Kinase	R-HSA-5673001	protein
MEK	MEK1/2	R-HSA-5674135	protein
ERK	ERK1/2	R-HSA-5674499	protein
FOS	c-Fos	R-HSA-8953750	protein
JUN	c-Jun	R-HSA-8953854	protein
AP1	AP-1 Complex	R-HSA-8953897	complex
MYC	c-Myc	R-HSA-4085377	protein
CCND1	Cyclin D1	R-HSA-69274	protein
CDK4	CDK4	R-HSA-69275	protein
RB	Retinoblastoma Protein	R-HSA-69615	protein
E2F	E2F Transcription Factor	R-HSA-113501	protein
S_PHASE	S Phase Entry	R-HSA-69242	process
P53	p53 Tumor Suppressor	R-HSA-69481	protein
P21	p21/CDKN1A	R-HSA-69473	protein
CDK2	CDK2	R-HSA-69273	protein
DNA_DAMAGE	DNA Damage	R-HSA-73894	process
ATM	ATM Kinase	R-HSA-73933	protein
BAX	BAX	R-HSA-109606	protein
APOPTOSIS	Apoptosis	R-HSA-109581	process
BCL2	BCL-2	R-HSA-109604	protein
AKT	AKT/PKB	R-HSA-109703	protein
PI3K	PI3-Kinase	R-HSA-109704	protein
MTOR	mTOR	R-HSA-380972	protein
S6K1	S6K1	R-HSA-380994	protein
PROTEIN_SYNTHESIS	Protein Synthesis	R-HSA-72766	process
AMPK	AMP-activated Kinase	R-HSA-380994	protein
ENERGY_STRESS	Energy Stress	R-HSA-163685	process
WNT	Wnt Signaling	R-HSA-195721	pathway
CTNNB1	Beta-Catenin	R-HSA-195753	protein
APC	APC	R-HSA-195681	protein
MDM2	MDM2	R-HSA-69017	protein
VEGF	VEGF	R-HSA-194138	protein
VEGFR2	VEGFR2	R-HSA-194179	protein
HIF1A	HIF-1α	R-HSA-1234174	protein
NOTCH	Notch	R-HSA-157118	protein
HES1	HES1	R-HSA-2122947	protein
TGFB	TGF-β	R-HSA-170834	protein
SMAD2	SMAD2	R-HSA-2173796	protein
